Person,YouthSubculture,FashionStyle,MusicGenre,Slang,Ritual,Activity,Event,Value,Media,Location,HistoricalPeriod
Person_30,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_31,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
Person_32,Emo,"Black, Minimalist",Emo Rock,Emo,Emo Night,Listening to Music,Emo Festival,Emotion,Emo Vlogs,Tokyo,2000s
Person_33,Hipsters,"Vintage, Indie",Indie Rock,Hipster,Vintage Fair,Fashion Shows,Hipster Art Walk,Authenticity,Hipster Podcasts,San Francisco,2010s
Person_34,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
Person_35,Mods,Mod Suits,Mod Revival,Mods,Mod Rally,Participating in Rallies,Mod Week,Tradition,Mod TV Shows,Manchester,1960s
Person_36,Ravers,"Bright, Neon",Electronic,Rave On,Rave Party,Dancing,Rave Extravaganza,Eclecticism,Rave Radio,Paris,1990s
Person_37,Emo,"Black, Minimalist",Emo Rock,Emo,Emo Night,Listening to Music,Emo Festival,Emotion,Emo Vlogs,Tokyo,2000s
Person_38,Hip-Hop Culture,"Baggy, Urban",Hip-Hop,Dope,Hip-Hop Battle,Socializing,Hip-Hop Summit,Creativity,Hip-Hop Documentaries,Berlin,1980s
Person_39,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
Person_40,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_41,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_42,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_43,Mods,Mod Suits,Mod Revival,Mods,Mod Rally,Participating in Rallies,Mod Week,Tradition,Mod TV Shows,Manchester,1960s
Person_44,Mods,Mod Suits,Mod Revival,Mods,Mod Rally,Participating in Rallies,Mod Week,Tradition,Mod TV Shows,Manchester,1960s
Person_45,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
Person_46,Mods,Mod Suits,Mod Revival,Mods,Mod Rally,Participating in Rallies,Mod Week,Tradition,Mod TV Shows,Manchester,1960s
Person_47,Ravers,"Bright, Neon",Electronic,Rave On,Rave Party,Dancing,Rave Extravaganza,Eclecticism,Rave Radio,Paris,1990s
Person_48,Goths,"Dark, Victorian",Gothic Rock,Goth,Goth Night,Listening to Music,Goth Festival,Individualism,Goth Magazine,London,1980s
Person_49,Hipsters,"Vintage, Indie",Indie Rock,Hipster,Vintage Fair,Fashion Shows,Hipster Art Walk,Authenticity,Hipster Podcasts,San Francisco,2010s
Person_50,Hipsters,"Vintage, Indie",Indie Rock,Hipster,Vintage Fair,Fashion Shows,Hipster Art Walk,Authenticity,Hipster Podcasts,San Francisco,2010s
Person_51,Emo,"Black, Minimalist",Emo Rock,Emo,Emo Night,Listening to Music,Emo Festival,Emotion,Emo Vlogs,Tokyo,2000s
Person_52,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_53,Emo,"Black, Minimalist",Emo Rock,Emo,Emo Night,Listening to Music,Emo Festival,Emotion,Emo Vlogs,Tokyo,2000s
Person_54,Mods,Mod Suits,Mod Revival,Mods,Mod Rally,Participating in Rallies,Mod Week,Tradition,Mod TV Shows,Manchester,1960s
Person_55,Emo,"Black, Minimalist",Emo Rock,Emo,Emo Night,Listening to Music,Emo Festival,Emotion,Emo Vlogs,Tokyo,2000s
Person_56,Ravers,"Bright, Neon",Electronic,Rave On,Rave Party,Dancing,Rave Extravaganza,Eclecticism,Rave Radio,Paris,1990s
Person_57,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
Person_58,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
Person_59,Mods,Mod Suits,Mod Revival,Mods,Mod Rally,Participating in Rallies,Mod Week,Tradition,Mod TV Shows,Manchester,1960s
Person_60,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_61,Gamers,Graphic Tees,Electronic,GG,Gaming Marathon,Gaming,Gaming Convention,Innovation,Gaming Streams,Chicago,2000s
Person_62,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_63,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_64,Gamers,Graphic Tees,Electronic,GG,Gaming Marathon,Gaming,Gaming Convention,Innovation,Gaming Streams,Chicago,2000s
Person_65,Hipsters,"Vintage, Indie",Indie Rock,Hipster,Vintage Fair,Fashion Shows,Hipster Art Walk,Authenticity,Hipster Podcasts,San Francisco,2010s
Person_66,Skaters,"Casual, Streetwear",Skate Punk,Skater,Skateboarding,Skateboarding,Skate Park Opening,Freedom,Skater Blog,Los Angeles,1990s
Person_67,Ravers,"Bright, Neon",Electronic,Rave On,Rave Party,Dancing,Rave Extravaganza,Eclecticism,Rave Radio,Paris,1990s
Person_68,Skaters,"Casual, Streetwear",Skate Punk,Skater,Skateboarding,Skateboarding,Skate Park Opening,Freedom,Skater Blog,Los Angeles,1990s
Person_69,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_70,Skaters,"Casual, Streetwear",Skate Punk,Skater,Skateboarding,Skateboarding,Skate Park Opening,Freedom,Skater Blog,Los Angeles,1990s
Person_71,Goths,"Dark, Victorian",Gothic Rock,Goth,Goth Night,Listening to Music,Goth Festival,Individualism,Goth Magazine,London,1980s
Person_72,Gamers,Graphic Tees,Electronic,GG,Gaming Marathon,Gaming,Gaming Convention,Innovation,Gaming Streams,Chicago,2000s
Person_73,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
Person_74,Hip-Hop Culture,"Baggy, Urban",Hip-Hop,Dope,Hip-Hop Battle,Socializing,Hip-Hop Summit,Creativity,Hip-Hop Documentaries,Berlin,1980s
Person_75,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
Person_76,Emo,"Black, Minimalist",Emo Rock,Emo,Emo Night,Listening to Music,Emo Festival,Emotion,Emo Vlogs,Tokyo,2000s
Person_77,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
Person_78,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
Person_79,Goths,"Dark, Victorian",Gothic Rock,Goth,Goth Night,Listening to Music,Goth Festival,Individualism,Goth Magazine,London,1980s
Person_80,Emo,"Black, Minimalist",Emo Rock,Emo,Emo Night,Listening to Music,Emo Festival,Emotion,Emo Vlogs,Tokyo,2000s
Person_81,Emo,"Black, Minimalist",Emo Rock,Emo,Emo Night,Listening to Music,Emo Festival,Emotion,Emo Vlogs,Tokyo,2000s
Person_82,Hipsters,"Vintage, Indie",Indie Rock,Hipster,Vintage Fair,Fashion Shows,Hipster Art Walk,Authenticity,Hipster Podcasts,San Francisco,2010s
Person_83,Gamers,Graphic Tees,Electronic,GG,Gaming Marathon,Gaming,Gaming Convention,Innovation,Gaming Streams,Chicago,2000s
Person_84,Ravers,"Bright, Neon",Electronic,Rave On,Rave Party,Dancing,Rave Extravaganza,Eclecticism,Rave Radio,Paris,1990s
Person_85,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_86,Emo,"Black, Minimalist",Emo Rock,Emo,Emo Night,Listening to Music,Emo Festival,Emotion,Emo Vlogs,Tokyo,2000s
Person_87,Skaters,"Casual, Streetwear",Skate Punk,Skater,Skateboarding,Skateboarding,Skate Park Opening,Freedom,Skater Blog,Los Angeles,1990s
Person_88,Hip-Hop Culture,"Baggy, Urban",Hip-Hop,Dope,Hip-Hop Battle,Socializing,Hip-Hop Summit,Creativity,Hip-Hop Documentaries,Berlin,1980s
Person_89,Skaters,"Casual, Streetwear",Skate Punk,Skater,Skateboarding,Skateboarding,Skate Park Opening,Freedom,Skater Blog,Los Angeles,1990s
Person_90,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_91,Mods,Mod Suits,Mod Revival,Mods,Mod Rally,Participating in Rallies,Mod Week,Tradition,Mod TV Shows,Manchester,1960s
Person_92,Skaters,"Casual, Streetwear",Skate Punk,Skater,Skateboarding,Skateboarding,Skate Park Opening,Freedom,Skater Blog,Los Angeles,1990s
Person_93,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_94,Emo,"Black, Minimalist",Emo Rock,Emo,Emo Night,Listening to Music,Emo Festival,Emotion,Emo Vlogs,Tokyo,2000s
Person_95,Ravers,"Bright, Neon",Electronic,Rave On,Rave Party,Dancing,Rave Extravaganza,Eclecticism,Rave Radio,Paris,1990s
Person_96,Hipsters,"Vintage, Indie",Indie Rock,Hipster,Vintage Fair,Fashion Shows,Hipster Art Walk,Authenticity,Hipster Podcasts,San Francisco,2010s
Person_97,Mods,Mod Suits,Mod Revival,Mods,Mod Rally,Participating in Rallies,Mod Week,Tradition,Mod TV Shows,Manchester,1960s
Person_98,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
Person_99,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
Person_100,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
